"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"Potassium Glucocyanate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Hydroxide 50%","E0540-80","2","2","1","4","1","1","X","2","2","4","4","1","2","2","2","1","3","3","",""
"Potassium Hypochlorite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Iodate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Iodide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Metabisulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Metachromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Metasilicate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Potassium Monochromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Nitrate","N0674-70","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","1","",""
"Potassium Nitrite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Oxalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Perchlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Perfluoro Acetate","V3819-75","X","X","X","X","2","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Potassium Permanganate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Peroxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Potassium Persulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Phosphate (Acid)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Phosphate (Alkaline)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Phosphate (Di/Tri Basic)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Pyrosulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Salts","N0674-70","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","1","",""
"Potassium Silicate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Potassium Sodium Tartrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Stannate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Stearate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Sulfate","N0674-70","1","1","1","1","1","1","X","1","2","4","1","1","1","2","2","2","1","1","",""
"Potassium Sulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Sulfite","N0674-70","1","1","1","1","1","1","X","1","2","4","1","1","1","2","2","2","1","1","",""
"Potassium Tartrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Thiocyanate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Thiosulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Potassium Triphosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Prestone Antifreeze","N0674-70","1","1","1","1","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"PRL-High Temp. Hydr. Oil","V1164-75","2","2","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","2","",""
"Producer Gas","N0674-70","1","1","4","1","1","1","X","2","4","2","1","4","4","4","4","2","2","2","",""
"Propane","N0674-70","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","2","2","4","",""
"Propionaldehyde","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Propionic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Propionitrile","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Propyl Acetate","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Propyl Acetone or n-Propyl Acetone","E0540-80","4","4","1","4","1","1","X","4","4","4","4","1","4","4","4","4","4","4","",""
"Propyl Alcohol","N0674-70","1","1","1","1","1","1","X","1","1","4","4","1","1","1","1","1","1","1","",""
"Propyl Nitrate","E0540-80","4","4","2","4","1","1","X","4","4","4","X","2","4","4","4","4","4","4","",""
"Propyl Propionate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Propylamine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Propylbenzene","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Propylene","V1164-75","3","3","4","1","1","1","X","4","4","4","4","4","4","4","4","4","3","4","",""
"Propylene Chloride","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Propylene Chlorohydrin","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Propylene Dichloride","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Propylene Glycol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Propylene Imine","V1164-75","X","X","X","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Propylene Oxide","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Pydraul 90e","E0540-80","4","4","1","1","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Pydraul, 10E","E0540-80","4","4","1","4","1","1","X","4","4","4","4","1","4","4","4","4","4","1","",""
"Pydraul, 115E","V1164-75","4","4","1","1","1","1","X","4","4","4","4","1","4","4","4","4","3","4","",""
"Pydraul, 230C, 312C, 540C, A200","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","4","4","",""
"Pydraul, 29ELT 30E, 50E, 65E","V1164-75","4","4","1","1","1","1","X","4","4","4","4","1","4","4","4","4","1","1","",""
"Pyranol Transformer Oil","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","2","1","4","",""
"Pyridine","V1164-75","4","4","2","1","2","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Pyridine Oil","E0540-80","4","4","2","4","1","1","X","4","4","4","X","2","4","4","4","4","4","4","",""
"Pyridine Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Pyridine Sulfonic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Pyrogallol (Pyrogallic Acid)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Pyrogard 42, 43, 55","E0540-80","4","4","1","1","1","1","2","4","X","X","X","X","X","X","X","X","X","X","",""
"Pyrogard 53, Mobil Phosphate Ester","E0540-80","4","4","1","1","1","1","X","4","4","4","4","1","4","4","4","4","4","4","",""
"Pyrogard D, Mobil Water-in-Oil Emulsion","N0674-70","1","1","4","4","1","1","X","2","4","X","1","4","4","4","4","1","2","3","",""
"Pyroligneous Acid","E0540-80","4","4","2","4","1","1","X","2","4","4","4","2","4","4","4","2","4","X","",""
"Pyrolube","V1164-75","4","4","2","1","1","1","X","4","4","4","4","2","4","4","4","4","2","2","",""
"Pyrosulfuric Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Pyrosulfuryl Chloride","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Pyrrole","E0540-80","4","4","4","4","1","1","X","4","2","4","X","4","2","2","2","2","4","2","",""
"Pyruvic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Quinidine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Quinine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Quinine Bisulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Quinine Hydrochloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Quinine Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Quinine Tartrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Quinizarin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Quinoline","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Quinone","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Quintolubric","N0674-70","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Quintolubric 888","V1164-75","1","1","4","1","1","1","1","2","X","X","1","2","X","X","X","X","X","X","",""
"Radiation (Gamma, 1.0 E+07 Rads)","E0740-75","3","3","2","4","3","2","X","X","X","X","4","4","X","X","4","X","4","2","",""
"Raffinate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Rapeseed Oil","E0540-80","2","2","1","1","1","1","X","2","4","2","2","1","4","4","4","2","1","4","",""
"Red Line 100 Oil","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Red Oil (MIL-H-5606)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Resorcinol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Rhodium","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Riboflavin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Ricinoleic Acid","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"RJ-1 (MIL-F-25558)","N0602-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"RJ-4 (MIL-F-82522)","N0602-70","2","2","4","1","1","1","X","4","4","2","2","4","X","X","4","X","1","4","",""
"Rosin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"RP-1 (MIL-R-25576)","N0602-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Saccharin Solution","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sal Ammoniac","E0540-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","2","",""
"Salicylic Acid","E0540-80","2","2","1","1","1","1","X","X","2","X","X","1","2","1","1","X","1","X","",""
"Santo Safe 300","V1164-75","4","4","3","1","1","1","X","4","4","4","X","3","4","4","4","X","1","1","",""
"Sea (Salt) Water","N0674-70","1","1","1","1","1","1","X","2","1","4","2","1","1","1","1","1","1","1","",""
"Sebacic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Selenic Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Selenous Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sewage","N0674-70","1","1","1","1","1","1","X","2","1","4","4","1","1","1","1","1","1","1","",""
"SF 1154 GE Silicone Fluid","E0740-75","2","2","1","1","1","1","X","1","1","1","2","1","X","1","1","1","1","4","",""
"SF1147 GE Silicone Fluid","V1164-75","2","2","3","1","1","1","X","X","X","X","X","3","X","X","X","X","X","4","",""
"SF96 GE SIlicone Fluid","E0740-75","2","2","1","1","1","1","X","1","1","1","2","1","1","1","1","1","1","4","",""
"Shell 3XF Mine Fluid (Fire resist hydr.)","N0674-70","1","1","4","1","1","1","X","2","4","4","4","4","4","4","4","2","1","X","",""
"Shell Alvania Grease #2","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","2","",""
"Shell Carnea 19 and 29","N0674-70","1","1","4","1","1","1","X","4","4","1","2","4","4","4","4","4","1","X","",""
"Shell Diala","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Shell Irus 905","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Shell Lo Hydrax 27 and 29","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Shell Macome 72","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Shell Tellus #32 Pet. Base","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Shell Tellus #68","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Shell Tellus 27 (Petroleum Base)","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Shell Tellus 33","N0674-70","1","1","4","1","1","1","1","2","X","X","X","X","X","X","X","X","X","X","",""
"Shell UMF (5% Aromatic)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","4","1","4","",""
"Shellac","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Silane","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Silicate Esters","V1164-75","2","2","4","1","1","1","X","1","4","X","1","4","4","4","4","X","1","4","",""
"Silicon Fluoride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Silicon Tetrachloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Silicon Tetrafluoride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Silicone Greases","E0540-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Silicone Oils","E0540-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","3","3","",""
"Silver Bromide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Silver Chloride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Silver Cyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Silver Nitrate","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","1","",""
"Silver Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sinclair Opaline CX-EP Lube","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Skelly, Solvent B, C, E","N0674-70","1","1","4","1","1","1","X","4","4","X","X","4","4","4","4","4","1","X","",""
"Skydrol 500 B4","E1267-80","4","4","1","4","1","1","X","4","4","4","4","2","4","4","4","4","3","3","",""
"Skydrol 7000","E1267-80","4","4","1","2","1","1","1","4","X","X","X","X","X","X","X","X","X","X","",""
"Skydrol LD-4","E1267-80","4","4","1","4","1","1","X","4","4","4","4","2","4","4","4","4","3","3","",""
"Soap Solutions","E0540-80","1","1","1","1","1","1","X","2","2","4","4","1","1","1","2","1","1","1","",""
"Socony Mobile Type A","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Socony Vacuum AMV AC781 (Grease)","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","2","4","",""
"Socony Vacuum PD959B","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Soda Ash","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","1","1","",""
"Sodium (Molten)","Factory","X","X","X","X","4","4","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Sodium Acetate","E0540-80","2","2","1","4","1","1","X","2","4","3","3","1","4","1","1","1","4","4","",""
"Sodium Acid Bisulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Acid Fluoride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Acid Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Aluminate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Aluminate Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Anthraquinone Disulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Antimonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Arsenate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Arsenite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Benzoate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Bicarbonate (Baking Soda)","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","1","1","",""
"Sodium Bichromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Bifluoride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Bisulfate or Bisulfite","N0674-70","1","1","1","1","1","1","X","1","2","4","X","1","2","2","1","1","1","1","",""
"Sodium Bisulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Bitartrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Borate","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","1","1","",""
"Sodium Bromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Bromide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Carbonate (Soda Ash)","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","1","1","",""
"Sodium Chlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Chloride","N0674-70","1","1","1","1","1","1","X","1","1","X","1","1","1","1","1","1","X","1","",""
"Sodium Chlorite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Chloroacetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Chromate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Citrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Cyanamide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Cyanate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Cyanide","N0674-70","1","1","1","X","1","1","X","1","1","X","X","1","1","1","1","1","X","1","",""
"Sodium Diacetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Diphenyl Sulfonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Diphosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Disilicate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Ethylate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Ferricyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Ferrocyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Fluoride","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Fluorosilicate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Glutamate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Hydride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Sodium Hydrogen Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Hydrosulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Hydrosulfite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Hydroxide, 3 Molar","E0540-80","2","2","1","2","1","1","X","2","2","4","2","1","1","1","1","1","2","1","",""
"Sodium Hypochlorite","E0540-80","2","2","1","1","1","1","X","2","2","4","4","1","2","2","2","1","2","2","",""
"Sodium Hypophosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Hypophosphite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Hyposulfite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Iodide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Lactate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Metaphosphate","N0674-70","1","1","1","1","1","1","X","2","1","X","X","1","1","1","1","2","1","X","",""
"Sodium Metasilicate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Methylate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Monophosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Nitrate","E0540-80","2","2","1","X","1","1","X","2","2","X","X","1","1","1","2","1","X","4","",""
"Sodium Oleate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Orthosilicate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Oxalate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Perborate","E0540-80","2","2","1","1","1","1","X","2","2","X","X","1","2","2","2","2","1","2","",""
"Sodium Percarbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Perchlorate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Peroxide","E0540-80","2","2","1","1","1","1","X","2","2","4","4","1","2","2","2","2","1","4","",""
"Sodium Persulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Phenolate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Phenoxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Phosphate (Dibasic)","N0674-70","1","1","1","1","1","1","X","2","1","1","1","1","1","1","1","1","X","4","",""
"Sodium Phosphate (Mono)","N0674-70","1","1","1","1","1","1","X","2","1","1","1","1","1","1","1","1","X","4","",""
"Sodium Phosphate (Tribasic)","N0674-70","1","1","1","1","1","1","X","2","1","1","1","1","1","1","1","1","X","1","",""
"Sodium Plumbite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Pyrophosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Resinate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Salicylate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Salts","N0674-70","1","1","1","1","1","1","X","2","1","1","1","1","1","1","1","1","1","1","",""
"Sodium Sesquisilicate","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Sodium Silicate","N0674-70","1","1","1","1","1","1","X","1","1","X","X","1","1","1","1","1","X","X","",""
"Sodium Silicofluoride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Sodium Stannate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Sulfate","N0674-70","1","1","1","1","1","1","X","1","2","4","1","1","2","2","2","1","1","1","",""
"Sodium Sulfide and Sulfite","N0674-70","1","1","1","1","1","1","X","1","2","4","1","1","2","2","2","1","1","1","",""
"Sodium Sulfocyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Tartrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Tetraborate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Tetraphosphate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Tetrasulfide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Thioarsenate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Thiocyanate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Sodium Thiosulfate","E0540-80","2","2","1","1","1","1","X","1","2","4","1","1","2","2","2","1","1","1","",""
"Sodium Trichloroacetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
